"V1" "V2" "V3" "V4"
"1" 32.25 72 NA NA
"2" 30 48.75 1.72427843132671 2.13727328262916
"3" 30 49.5 2.18751781799742 1.81964505555832
"4" 30 72.75 5.53314157468318 1.05354469602787
"5" 29.25 48.75 1.99308941429418 1.65611316405599
"6" 29.25 49.5 2.10593647956164 1.78695652633001
"7" 29.25 50.25 1.69131682837592 2.32915164885083
"8" 28.5 48.75 1.71915431188276 2.15836638521991
"9" 28.5 49.5 1.99494370562217 1.92057795385264
"10" 28.5 50.25 2.06219937769516 1.97884785992208
"11" 28.5 51 1.99919689319097 2.09533763882991
"12" 28.5 68.25 NA NA
"13" 28.5 70.5 4.37265909420525 1.21370618274929
"14" 28.5 72 3.62971100590549 1.61936202474107
"15" 28.5 76.5 NA NA
"16" 28.5 78 NA NA
"17" 27.75 49.5 1.79701585011614 2.05980350250287
"18" 27.75 50.25 2.37252991967005 1.74933500582334
"19" 27.75 51 3.09193164664004 1.26372906171554
"20" 27.75 51.75 2.2722905883326 1.80149735338322
"21" 27.75 68.25 NA NA
"22" 27.75 69 NA NA
"23" 27 49.5 2.82600931471946 1.94846831628557
"24" 27 50.25 1.56433143523154 2.37023178897356
"25" 27 51 2.59092336546007 1.6576240322564
"26" 27 51.75 2.38414123884491 1.70443108561885
"27" 27 52.5 1.94836826847602 1.8424286226641
"28" 27 56.25 6.5943350968369 0.564832990898658
"29" 27 68.25 NA NA
"30" 27 69 NA NA
"31" 27 81 NA NA
"32" 27 82.5 7.60038722736777 0.646152097695614
"33" 27 84 7.4185908671626 0.647878873677672
"34" 27 84.75 NA NA
"35" 26.25 49.5 2.83193333309637 2.14228704796446
"36" 26.25 50.25 1.43014558529989 2.49120038252909
"37" 26.25 51 1.61250863420602 2.46278702411922
"38" 26.25 51.75 2.08641103080889 2.00249218529682
"39" 26.25 52.5 2.80479482738258 1.44693877148382
"40" 26.25 53.25 2.57701530025146 1.30357482006974
"41" 26.25 54 4.43911179827909 0.672359057114591
"42" 26.25 54.75 5.65415552891397 0.503717223088954
"43" 26.25 55.5 4.74407732591191 0.68514445197322
"44" 26.25 56.25 NA NA
"45" 26.25 57 NA NA
"46" 26.25 68.25 NA NA
"47" 26.25 80.25 11.9330866929689 0.455750789876344
"48" 26.25 82.5 5.38967855827476 0.893602507575871
"49" 26.25 83.25 6.45294348144339 0.725077726257844
"50" 26.25 84.75 NA NA
"51" 26.25 85.5 NA NA
"52" 25.5 50.25 2.85400479787842 2.43372609991441
"53" 25.5 51 2.6402223716476 2.36738181256355
"54" 25.5 51.75 1.43967125254747 2.407126763476
"55" 25.5 52.5 2.51047631217233 1.80860786946724
"56" 25.5 53.25 3.71268553390187 0.998395659180395
"57" 25.5 54 3.78898160174754 0.915445208364985
"58" 25.5 54.75 4.83813607351551 0.622685082687088
"59" 25.5 55.5 4.66432086874455 1.0181171863735
"60" 25.5 57 NA NA
"61" 25.5 57.75 5.84643041972959 0.711348663231377
"62" 25.5 69 NA NA
"63" 25.5 70.5 5.86903585099734 1.06432611333103
"64" 25.5 86.25 6.67343563642632 0.822807336982692
"65" 25.5 87 NA NA
"66" 24.75 51.75 1.60433324918348 2.4535233104223
"67" 24.75 52.5 2.17356344665634 2.06644622566831
"68" 24.75 53.25 2.94838113250056 1.3734595842337
"69" 24.75 54 4.25594158278562 0.855097413119487
"70" 24.75 54.75 5.34494254805834 0.802929733142692
"71" 24.75 57 5.33788844607527 0.781708671311381
"72" 24.75 57.75 4.31276888512581 0.905466088371894
"73" 24.75 58.5 NA NA
"74" 24.75 59.25 6.23727138470569 0.657690597450815
"75" 24.75 60 6.13979940864143 0.770634921563188
"76" 24.75 60.75 7.04267940002391 0.675701550819125
"77" 24.75 61.5 8.66822804790293 0.592306566007297
"78" 24.75 65.25 7.08453708297034 0.81958086714362
"79" 24 53.25 4.73643391947862 1.13019858297797
"80" 24 54.75 6.56495951967251 0.789895339882195
"81" 24 57.75 6.53680257563616 0.772121270568238
"82" 24 58.5 5.44055520306009 0.92382452012336
"83" 24 59.25 4.75857025026474 1.02147517410015
"84" 24 66 6.02624862342015 1.00539752513532
"85" 23.25 38.25 3.02032266441281 2.12844172091397
"86" 22.5 37.5 2.94052027650553 1.9870777650141
"87" 22.5 38.25 3.04293292610062 1.99080294530858
"88" 22.5 87.75 6.38249960601403 0.808988785428518
"89" 21.75 37.5 3.52230064960786 1.53851109966675
"90" 21.75 38.25 3.08984982623829 1.94441045536476
"91" 21 37.5 3.18514818899838 1.84035517707234
"92" 21 38.25 3.53762819501283 1.63973871015738
"93" 21 39 3.19638282572251 1.73333322281209
"94" 20.25 37.5 3.54674071395493 1.68517441028265
"95" 20.25 38.25 3.67163664937965 1.52597127025108
"96" 20.25 39 3.90070714395115 1.41291811096893
"97" 19.5 39 3.87389942701349 1.47445020152173
"98" 18.75 39 3.7855176443297 1.4193111761093
"99" 18.75 39.75 3.78812864082584 1.48147968147872
"100" 18 39.75 3.82132763944411 1.38685341271158
"101" 18 41.25 3.93857581466342 1.52161904795375
"102" 17.25 39.75 4.01105468464796 1.28675777787097
"103" 17.25 40.5 4.53983765257156 1.14989526086472
"104" 17.25 42 4.66300895852758 1.22475454178335
"105" 17.25 79.5 NA NA
"106" 16.5 39.75 4.21555530888574 1.19071687396876
"107" 16.5 40.5 5.04491951095851 0.914154748123256
"108" 16.5 41.25 6.23865093130916 0.801213127077264
"109" 16.5 42 5.19423618101797 0.965082383612508
"110" 16.5 80.25 6.85008030433558 0.781755349575722
"111" 15.75 40.5 4.84248273851191 0.9053540789611
"112" 15.75 41.25 5.30985907849069 0.892115703612927
"113" 15.75 42 5.70577036793996 0.794466712230593
"114" 15 41.25 5.38776089450486 0.879079740738309
"115" 15 42 7.99856621802686 0.531910395061221
"116" 14.25 42 7.79610167651418 0.621447959751816
"117" -26.25 298.5 7.08810449288643 0.979400163332828
"118" -27.75 299.25 7.12138980136056 0.900832186434513
"119" -27.75 300.75 5.86375585305958 1.14327382408252
